,label,area,equivalent_diameter,mean_intensity,filename
45,51,2526,56.71157809,898.2656374,Exo70
46,52,2832,60.04843371,953.522952,Exo70
47,53,3724,68.85887063,977.702739,Exo70
48,54,3004,61.84506118,926.9074567,Exo70
49,55,2899,60.75460016,726.6233184,Exo70
50,56,2281,53.89118111,948.4866287,Exo70
51,57,2718,58.82741778,703.763429,Exo70
52,58,3329,65.10464226,772.1390808,Exo70
53,59,2087,51.54852985,765.9108769,Exo70
54,60,2410,55.39410892,1068.333195,Exo70
55,61,4,2.256758334,2998.75,Exo70
56,62,1243,39.78236738,1112.181014,Exo70
57,63,3002,61.82447018,1058.550966,Exo70
58,64,2242,53.42848547,1033.632917,Exo70
59,65,2012,50.61381199,830.9786282,Exo70
60,66,2453,55.88610385,849.4891969,Exo70
61,68,2722,58.87068915,617.0628215,Exo70
62,69,2258,53.61879234,1082.195306,Exo70
63,70,3415,65.94022327,750.4992679,Exo70
64,71,1956,49.90447424,732.9222904,Exo70
65,72,2508,56.50915659,1067.335726,Exo70
66,73,2666,58.26196552,923.3049512,Exo70
67,74,3305,64.86953596,664.8913767,Exo70
68,75,2195,52.86549726,1064.98451,Exo70
69,76,1919,49.43022038,856.7305888,Exo70
70,77,4048,71.79187751,977.013834,Exo70
71,79,2871,60.46048902,894.0815047,Exo70
72,80,2074,51.38773021,1011.572806,Exo70
73,81,2045,51.02719735,1231.237653,Exo70
74,82,2855,60.29178137,730.1495622,Exo70
75,83,3459,66.36366163,832.8418618,Exo70
76,84,3676,68.41365775,645.7603373,Exo70
77,85,3580,67.5144249,857.000838,Exo70
78,86,2003,50.50048325,1017.144783,Exo70
79,87,3969,71.08788753,945.6931217,Exo70
80,90,1657,45.93210125,1041.617984,Exo70
81,91,1914,49.36578257,720.5606061,Exo70
82,92,628,28.27710088,1862.953822,Exo70
83,93,1591,45.00804501,978.6191075,Exo70
84,94,1472,43.29213104,1251.572011,Exo70
85,96,2761,59.29093002,878.4737414,Exo70
86,97,1271,40.22794379,1168.712825,Exo70
87,98,606,27.77738584,1649.057756,Exo70
88,99,2150,52.32078957,873.384186,Exo70
89,100,1826,48.21758402,884.8231106,Exo70
90,101,557,26.63070458,1823.330341,Exo70
91,102,2025,50.77706252,1027.415802,Exo70
92,104,1840,48.40207395,818.4875,Exo70
93,105,1698,46.49688965,850.8333333,Exo70
94,108,2227,53.24945508,801.2110463,Exo70
95,110,510,25.48238937,1884.417647,Exo70
96,111,1243,39.78236738,812.0474658,Exo70
0,1,3049,62.30655962,1149.169892,Exo70
1,2,4096,72.21626669,969.0598145,Exo70
2,4,3274,64.5645899,1016.532376,Exo70
3,5,5779,85.77908445,839.9285343,Exo70
4,6,2913,60.90112309,1145.995881,Exo70
5,7,3081,62.63266749,984.4333009,Exo70
6,10,3370,65.50433013,991.5857567,Exo70
7,11,2250,53.52372348,1058.598222,Exo70
8,12,3119,63.01772878,811.1551779,Exo70
9,13,2787,59.5694436,1223.955508,Exo70
10,15,3898,70.44918556,1015.289379,Exo70
11,16,3918,70.62968594,1025.755998,Exo70
12,17,2625,57.81222885,1005.038095,Exo70
13,18,3574,67.45782485,1113.843313,Exo70
